Number,State,IDState,Actorkey,ActorkeyState,Análisis_suelo_18,Análisis_foliar_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Composta_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desvare_18,Feromonas_18,Fertilización_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Tratamiento_semillas_18,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Cli18,Rad18,Cli17,Int17,Rad17,Rend17,Auto17,Edad18,Sup18,Rend18,Esc18,Auto18,Int18,CRend,Crad,CCli,CAuto,Cint
1,Campeche,CAM,ER002,CAMER002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16.66666667,5.882352941,10.78431373,1,2,0.34,1,0,0.34,1,100,53,12,3.5,9,10,0,2.5,0,1,-90,0
2,Campeche,CAM,ER004,CAMER004,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,4,10,58,9,4,9,10,0,0,0,0,0,0
3,Campeche,CAM,ER005,CAMER005,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,0.8,30,47,12,3.5,6,10,0,2.7,0,0,-20,0
4,Campeche,CAM,ER007,CAMER007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,2.7,10,45,15,4,9,10,0,1.3,0,0,0,0
5,Campeche,CAM,ER008,CAMER008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,1,30,54,15,4,6,10,0,3,0,0,-20,0
6,Campeche,CAM,ER009,CAMER009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,0,0,0.34,0.4,100,43,5,4,6,10,0,3.6,0,1,-90,0
7,Campeche,CAM,ER010,CAMER010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,0,0,0.34,2,10,43,5,4,6,10,0,2,0,1,0,0
8,Campeche,CAM,ER011,CAMER011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,2,25,57,6,4,6,10,0,2,0,0,-15,0
9,Campeche,CAM,ER014,CAMER014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.17,1,0,0.34,3,20,51,2,4,6,10,0,1,-0.17,0,-10,0
10,Campeche,CAM,ER017,CAMER017,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3.5,35,50,30,3.5,6,15,0,0,0,-1,-20,0
11,Campeche,CAM,ER018,CAMER018,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3.5,50,52,18,4,0,10,0,0.5,0,-1,-40,0
12,Campeche,CAM,ER019,CAMER019,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3.5,50,43,15,4,9,10,0,0.5,0,-1,-40,0
13,Campeche,CAM,ER021,CAMER021,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3,75,48,10,3.5,6,10,0,0.5,0,-1,-65,0
14,Campeche,CAM,ER022,CAMER022,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3,10,45,9,4,6,10,0,1,0,-1,0,0
15,Campeche,CAM,ER023,CAMER023,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3.2,20,71,7,4,0,10,0,0.8,0,-1,-10,0
16,Campeche,CAM,ER026,CAMER026,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.509,2,0,0.68,4,10,68,20,4,6,10,0,0,-0.171,-1,0,0
17,Campeche,CAM,ER027,CAMER027,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.509,1,0,0.34,3.5,18,45,23,4,6,10,0,0.5,0.169,0,-8,0
18,Campeche,CAM,ER028,CAMER028,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,4,5,43,14,4,6,10,0,0,0,-1,5,0
19,Campeche,CAM,ER029,CAMER029,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.34,2,0,0.34,3.5,10,48,30,4.5,6,10,0,1,0,-1,0,0
20,Campeche,CAM,ER030,CAMER030,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,5,5,38,8,5,1,10,0,0,0,0,5,0
21,Campeche,CAM,ER032,CAMER032,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555556,5.882352941,-0.326797386,0,1,0.17,1,0,0.34,3.5,10,47,8,3.5,6,10,0,0,-0.17,0,0,0
22,Campeche,CAM,ER033,CAMER033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555556,5.882352941,-0.326797386,0,1,0.17,1,0,0.34,3.5,10,46,5,3.5,6,10,0,0,-0.17,0,0,0
23,Campeche,CAM,ER034,CAMER034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,2,0.34,1,0,0.34,3,25,52,10,4,6,10,0,1,0,1,-15,0
24,Campeche,CAM,ER035,CAMER035,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,3.5,30,53,20,4,0,10,0,0.5,0,0,-20,0
25,Campeche,CAM,ER036,CAMER036,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.34,1,0,0.34,5,5,45,10,3.5,9,10,0,-1.5,0,0,5,0
26,Campeche,CAM,ER037,CAMER037,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.509,1,0,0.68,5,10,44,12,4,6,10,0,-1,-0.171,0,0,0
27,Campeche,CAM,ER039,CAMER039,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.509,1,0,0.34,4,5,53,11,3,6,20,0,-1,0.169,0,15,0
28,Campeche,CAM,ER040,CAMER040,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.509,1,0,0.34,3,5,47,13,3,9,10,0,0,0.169,0,5,0
29,Campeche,CAM,ER041,CAMER041,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,1,0.679,1,0,0.68,3,20,65,10,3.5,6,15,0,0.5,-0.001,0,-5,0
30,Campeche,CAM,ER043,CAMER043,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.509,1,0,0.34,3.5,5,56,5,4,9,10,0,0.5,0.169,-1,5,0
31,Campeche,CAM,ER044,CAMER044,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,1,0,0.34,3.5,10,59,3,3.5,0,10,0,0,0,0,0,0
32,Campeche,CAM,ER046,CAMER046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,4,10,66,5,3,3,15,0,-1,0.169,0,5,0
33,Campeche,CAM,ER050,CAMER050,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,4,10,56,3,3.5,3,18,0,-0.5,0.169,0,8,0
34,Campeche,CAM,ER051,CAMER051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,3.5,10,69,1,3,0,100,0,-0.5,0.169,0,90,0
35,Campeche,CAM,ER052,CAMER052,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,3.5,10,63,4,3.5,2,15,0,0,0.169,0,5,0
36,Campeche,CAM,ER053,CAMER053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,3.5,0,68,3,3,16,0,0,-0.5,0.169,0,0,0
37,Campeche,CAM,ER054,CAMER054,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,0,0,0.34,3,100,72,2,3,0,10,0,0,0.169,1,-90,0
38,Campeche,CAM,ER056,CAMER056,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,3,100,84,1,2.7,0,100,0,-0.3,0.169,0,0,0
39,Campeche,CAM,ER057,CAMER057,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,2.5,100,54,1,3,9,100,0,0.5,0.169,0,0,0
40,Campeche,CAM,ER058,CAMER058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,3.5,10,62,5,3.5,0,10,0,0,0.169,0,0,0
41,Campeche,CAM,ER059,CAMER059,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,2.5,15,52,3,3,1,0,0,0.5,0.169,0,-15,0
42,Campeche,CAM,ER061,CAMER061,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22.22222222,11.76470588,10.45751634,1,1,0.509,1,0,0.34,3,3,63,1,4.5,0,0,0,1.5,0.169,0,-3,0
43,Campeche,CAM,ER063,CAMER063,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,2.5,1,51,3,3,1,0,0,0.5,0.169,0,-1,0
44,Campeche,CAM,ER066,CAMER066,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22.22222222,11.76470588,10.45751634,1,0,0.849,1,0,0.34,2.5,20,52,5,3,2,100,0,0.5,0.509,-1,80,0
45,Campeche,CAM,ER068,CAMER068,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,1.02,0.8,100,63,1,3.5,0,100,0,2.7,-0.511,0,0,0
46,Campeche,CAM,ER071,CAMER071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,2.5,100,54,1.5,2.5,2,100,0,0,0.169,0,0,0
47,Campeche,CAM,ER073,CAMER073,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.509,1,0,0.34,2.5,20,59,2,4,0,15,0,1.5,0.169,0,-5,0
48,Campeche,CAM,ER074,CAMER074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,1,0,0.34,2,20,59,3,3.5,0,20,0,1.5,0,0,0,0
49,Campeche,CAM,ER076,CAMER076,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,1,0,0.34,2.5,20,65,2,3.5,0,0,0,1,0,0,-20,0
50,Campeche,CAM,ER077,CAMER077,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,2.5,20,56,2,4,2,10,0,1.5,0.169,0,-10,0
51,Campeche,CAM,ER079,CAMER079,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,1,0,0.34,2.5,20,78,2.5,3.5,0,0,0.17,1,0,0,-20,0.17
52,Campeche,CAM,ER080,CAMER080,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.6,100,66,2,1,0,100,0,0.4,0,0,0,0
53,Campeche,CAM,ER081,CAMER081,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,0,0.509,0,0,0.34,0.8,100,66,4,1,0,100,0,0.2,0.169,0,0,0
54,Campeche,CAM,ER082,CAMER082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.34,0,0,0.68,0.6,100,77,1,0.6,0,100,0,0,-0.34,0,0,0
55,Campeche,CAM,ER083,CAMER083,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,11.76470588,10.45751634,1,0,0.509,0,0,0.34,0.8,100,67,0.25,0.4,0,100,0,-0.4,0.169,0,0,0
56,Campeche,CAM,ER084,CAMER084,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,0,0,0.34,2.5,100,48,1,3,2,100,0,0.5,0,1,0,0
57,Campeche,CAM,ER085,CAMER085,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,1,0,0.34,2.5,20,52,2,3,1,20,0,0.5,0,0,0,0
58,Campeche,CAM,ER086,CAMER086,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.34,0,0,0.34,0.8,100,63,1,1.5,0,100,0,0.7,0,0,0,0
59,Campeche,CAM,ER087,CAMER087,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,0,0,0.34,2,100,62,1.5,3.5,0,100,0,1.5,0,1,0,0
60,Campeche,CAM,ER088,CAMER088,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,0,0.509,0,0,0.34,0.7,100,49,1,0.5,0,100,0,-0.2,0.169,0,0,0
61,Campeche,CAM,ER089,CAMER089,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.34,0,0,0,0.8,100,59,1,0.9,0,100,0,0.1,0.34,0,0,0
62,Campeche,CAM,ER091,CAMER091,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,5.882352941,16.33986928,1,0,0.509,0,0,0.68,0.8,100,63,2,1,0,100,0,0.2,-0.171,0,0,0
63,Campeche,CAM,ER092,CAMER092,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.22222222,11.76470588,10.45751634,1,1,0.509,1,0,0,2.5,30,64,4,2.5,1,15,0,0,0.509,0,-15,0
64,Campeche,CAM,ER093,CAMER093,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,0,16.66666667,1,0,0.34,0,0,0.34,0.5,100,57,1,0.8,2,100,0,0.3,0,0,0,0
65,Campeche,CAM,ER094,CAMER094,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.6,100,39,2,0.7,4,100,0,0.1,0,0,0,0
66,Campeche,CAM,ER095,CAMER095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,1,0,0.34,3,10,72,5,3.5,0,15,0,0.5,0.169,0,5,0
67,Campeche,CAM,ER097,CAMER097,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.5,100,60,2,0.6,0,100,0,0.1,0,0,0,0
68,Campeche,CAM,ER098,CAMER098,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.8,100,50,2,0.8,0,100,0,0,0,0,0,0
69,Campeche,CAM,ER099,CAMER099,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.6,100,57,1,0.7,0,100,0,0.1,0,0,0,0
70,Campeche,CAM,ER100,CAMER100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.4,100,57,1,0.7,1,100,0,0.3,0,0,0,0
71,Campeche,CAM,ER101,CAMER101,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.4,100,64,1,1.5,0,100,0,1.1,0,0,0,0
72,Campeche,CAM,ER102,CAMER102,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.6,100,62,1,0.7,0,100,0,0.1,0,0,0,0
73,Campeche,CAM,ER103,CAMER103,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.34,0,0,0.34,0.4,100,65,1,0.6,0,100,0,0.2,0,0,0,0
74,Campeche,CAM,ER104,CAMER104,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.509,0,0,0.34,0.4,100,62,1,0.6,0,100,0,0.2,0.169,0,0,0
75,Campeche,CAM,ER106,CAMER106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,0.2,100,75,1,2,0,100,0,1.8,0.169,0,0,0
76,Campeche,CAM,ER108,CAMER108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,1.5,100,81,1,3,0,100,0,1.5,0.169,0,0,0
77,Campeche,CAM,ER109,CAMER109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,1,0,0.34,3,15,78,1,3,0,100,0,0,0.169,-1,85,0
78,Campeche,CAM,ER110,CAMER110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,1,0,0.34,2.5,10,68,1,3,0,100,0,0.5,0.169,-1,90,0
79,Campeche,CAM,ER111,CAMER111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,1,0,0.34,2.5,5,80,1.5,1.8,0,100,0,-0.7,0.169,-1,95,0
80,Campeche,CAM,ER112,CAMER112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,1.5,100,58,1,2,0,100,0,0.5,0.169,0,0,0
81,Campeche,CAM,ER113,CAMER113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,0,0,0.34,1,100,79,2,1.5,0,100,0,0.5,0.169,1,0,0
82,Campeche,CAM,ER114,CAMER114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,1,0,0.34,6,5,66,1,4.5,0,100,0,-1.5,0.169,-1,95,0
83,Campeche,CAM,ER115,CAMER115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,0,0,0.34,0.6,100,85,2,3,0,85,0,2.4,0.169,1,-15,0
84,Campeche,CAM,ER116,CAMER116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.509,0,0,0.34,1,100,67,2,1.5,0,100,0,0.5,0.169,0,0,0
85,Campeche,CAM,ER118,CAMER118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555556,5.882352941,-0.326797386,0,1,0.17,1,0,0.34,2,10,77,2,3.5,0,80,0,1.5,-0.17,0,70,0
86,Campeche,CAM,ER119,CAMER119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.509,0,0,0.34,1,100,72,1.5,3.5,0,80,0,2.5,0.169,1,-20,0
87,Campeche,CAM,ER122,CAMER122,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.509,1,0,0.34,3,20,61,1,4.5,1,0,0.17,1.5,0.169,0,-20,0.17
88,Campeche,CAM,ER125,CAMER125,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.509,1,0,0.34,3,5,53,1.5,3.5,0,0,0,0.5,0.169,0,-5,0
89,Campeche,CAM,ER126,CAMER126,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,0,0.509,1,0,0.34,3,5,57,0.5,3,0,100,0,0,0.169,-1,95,0
90,Campeche,CAM,ER129,CAMER129,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.509,0,0,0.34,0.8,100,68,2,4,3,0,0,3.2,0.169,1,-100,0
91,Campeche,CAM,ER132,CAMER132,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.66666667,5.882352941,10.78431373,1,1,0.509,1,0,0.34,3,10,56,4,4,1,0.9,0,1,0.169,0,-9.1,0
92,Campeche,CAM,ER134,CAMER134,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.34,0,0,0.34,0.7,100,65,1,0.8,0,100,0,0.1,0,0,0,0
93,Campeche,CAM,ER135,CAMER135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.34,0,0,0.34,0.8,100,79,1,0.8,0,100,0,0,0,0,0,0
94,Campeche,CAM,ER136,CAMER136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,0,0.34,0,0,0.34,0.8,100,65,1,0.9,0,100,0,0.1,0,0,0,0
95,Campeche,CAM,ER137,CAMER137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,0,0,0.34,0.8,100,56,2,3,0,100,0,2.2,0,1,0,0
96,Campeche,CAM,ER138,CAMER138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11111111,5.882352941,5.22875817,1,1,0.34,1,0,0.34,2,15,47,2.5,3.5,2,0,0.34,1.5,0,0,-15,0.34
